AnimalType,Name,SpecificBreed,PrimaryBreed,PrimaryColour,De-sexed,Gender,Age,Locality
D         ,SYDNEY,SPOODLE   ,SPOODL,Black     ,Y,M,4,BEERWAH
D         ,Moreton Ramus,COBBERDOG ,COBBER,Black     ,Y,M,0,MAROOCHYDORE
D         ,Harley,STAFFRDAMX,STAFFR,BlackWhite,Y,M,2,GLASS HOUSE MOUNTAINS
D         ,Quinn,STAFFRDAMX,STAFFR,BrownWhite,Y,F,2,GLASS HOUSE MOUNTAINS
D         ,Saffy,LABRADOR  ,LABRAD,White     ,Y,F,4,YAROOMBA
D         ,Archie,RETRIEVGD ,RETRIE,Gold      ,N,M,0,BARINGA
D         ,Gypsy,ENGLISHBT ,ENGLIS,Tan       ,Y,F,3,COOLUM BEACH
Cat       ,Sooty,DOMSH     ,DOMSH ,Black     ,Y,F,0,MAROOCHY RIVER
D         ,Evie,MALTESEX  ,MALTES,CaramelWht,Y,F,3,BEERBURRUM
D         ,Lola,SALUKIX   ,SALUKI,WhiteBlack,Y,F,4,SIPPY DOWNS
D         ,Frank,SPANIELCK ,SPANIE,BeigeWhite,Y,M,7,MARCOOLA
D         ,Baxter,LABRADOR  ,LABRAD,Chocolate ,N,M,0,PELICAN WATERS
D         ,Lu Lu,STAFFRDBTX,STAFFR,BlackBrown,Y,F,0,MOUNT COOLUM
D         ,Rocket,FOXTERRMNX,FOXTER,BlackWhite,Y,M,1,CALOUNDRA WEST
D         ,jenae,MALAMUTEA ,MALAMU,BlackGreyW,N,F,10,BLI BLI
Cat       ,Tiger,BENGAL    ,BENGAL,BrownBlack,Y,M,1,BUDERIM
D         ,Pippin,COLLIE    ,COLLIE,TriColour ,Y,M,1,CALOUNDRA WEST
D         ,Chloe,BULLARABX ,BULLAR,BlackWhite,N,F,6,PALMWOODS
D         ,Zappa,CATTLEDOG ,CATTLE,BlackTanWh,Y,M,1,GOLDEN BEACH
D         ,Duncan,COLLBORDRX,COLLBO,BlackWhite,N,M,0,MAROOCHYDORE
D         ,Baxter,PUG       ,PUG   ,Tan       ,Y,M,3,BLI BLI
D         ,Leia,CAVOODLE  ,CAVOOD,Gold      ,N,F,0,SIPPY DOWNS
D         ,Maggie,BULLDOGFR ,BULLDO,Brindle   ,Y,F,4,BIRTINYA
D         ,Shev,GREYHOUND ,GREYHO,Brindle   ,N,F,6,MOOLOOLABA
Cat       ,Ginger Beer,DOMSH     ,DOMSH ,Tortoise  ,Y,F,9,BUDERIM
D         ,Nicks,TERRIERAU ,TERRIE,Red       ,Y,M,0,CURRIMUNDI
D         ,Mabel,CATTLEDOGX,CATTLE,Black     ,N,F,7,COES CREEK
Cat       ,Whiskey,DOMMH     ,DOMMH ,Charcoal  ,Y,F,0,BLI BLI
D         ,Candy,PAPPILLON ,PAPPIL,WhiteTan  ,Y,F,7,LITTLE MOUNTAIN
D         ,PD,BICHONFRS ,BICHON,Silver    ,Y,F,6,LITTLE MOUNTAIN
D         ,Josie,LHASAAPSO ,LHASAA,Sable     ,Y,F,5,LITTLE MOUNTAIN
Cat       ,Whisky,DOMMH     ,DOMMH ,Charcoal  ,Y,F,0,BUDERIM
Cat       ,Maloo,RAGDOLL   ,RAGDOL,Grey      ,Y,M,5,PEREGIAN SPRINGS
D         ,Radcliff,KELPIEAUSX,KELPIE,BlackTan  ,Y,M,1,WOOMBYE
Cat       ,Miley,DOMSH     ,DOMSH ,Tabby     ,Y,F,1,BUDERIM
D         ,Axel,STAFFRDAM ,STAFFR,BlueWhite ,N,M,1,BLI BLI
D         ,Ralph,BOXER     ,BOXER ,White     ,Y,M,1,NAMBOUR
D         ,Lily,VIZSLA    ,VIZSLA,Rusty     ,N,F,0,BARINGA
Cat       ,Moegly,RAGDOLL   ,RAGDOL,Lilac     ,Y,M,0,SIPPY DOWNS
Cat       ,Playdoh,DOMSH     ,DOMSH ,WhiteGing ,Y,M,6,NAMBOUR
D         ,Rosie,KELPIEAUS ,KELPIE,Red       ,Y,F,0,MOUNTAIN CREEK
D         ,Nugget,PUG       ,PUG   ,Fawn      ,N,M,0,MAROOCHYDORE
D         ,Max,COLLBORDR ,COLLBO,Black     ,Y,M,4,MOUNTAIN CREEK
D         ,Pepper,CATTLEDOG ,CATTLE,BlueRoan  ,Y,F,0,LANDSBOROUGH
D         ,Charlie,LABRADOR  ,LABRAD,Chocolate ,Y,F,2,BARINGA
D         ,Roxy,POODLEX   ,POODLE,BrownBlack,Y,F,2,BEERWAH
D         ,Kojack,COLLBORDR ,COLLBO,Black     ,Y,M,3,CURRIMUNDI
D         ,Lilly,BICHONFRSX,BICHON,Gold      ,N,F,0,CALOUNDRA WEST
D         ,Bear,STAFFRDAMX,STAFFR,Red       ,Y,M,7,COOLUM BEACH
D         ,Ollie,STAFFRDBTX,STAFFR,Blue      ,Y,M,6,COOLUM BEACH
D         ,Princess,CHIHUAHUAX,CHIHUA,WhiteBrown,Y,F,0,PEACHESTER
D         ,Boris,SPANIELCK ,SPANIE,BlueRoan  ,Y,M,2,MOOLOOLABA
D         ,Bandit,MALTESEX  ,MALTES,White     ,N,M,1,PEREGIAN SPRINGS
Cat       ,Missy Moo,DOMSH     ,DOMSH ,Black     ,Y,F,0,LANDSBOROUGH
D         ,Milo,CHIHUAHUA ,CHIHUA,WhiteTan  ,Y,M,3,MOOLOOLAH VALLEY
D         ,Chewy,CAVOODLE  ,CAVOOD,Apricot   ,Y,M,1,NAMBOUR
D         ,Alfie,CAVOODLE  ,CAVOOD,BlackWhite,Y,M,1,NAMBOUR
D         ,Geordie,MALTESE   ,MALTES,Black     ,Y,M,4,BARINGA
D         ,Jorja,LABRADOR  ,LABRAD,Yellow    ,Y,F,1,EUDLO
D         ,Zeus,CATTLEDOGX,CATTLE,BlackBlueW,N,M,0,ALEXANDRA HEADLAND
D         ,Luna,KELPIEAUSX,KELPIE,BlackBrown,N,F,0,BIRTINYA
D         ,Dusty,CATAHOULA ,CATAHO,BlackTan  ,N,M,0,BEERWAH
D         ,Harry,CATTLEDOG ,CATTLE,Black     ,Y,M,3,COOLUM BEACH
D         ,Max,MALAMUTEAX,MALAMU,BlackTan  ,Y,M,1,MAROOCHYDORE
D         ,Millie,GERMNSHEPX,GERMNS,BlackTan  ,Y,F,5,MAROOCHYDORE
D         ,Frenchie,BULLDOGFR ,BULLDO,Blue      ,N,F,0,COOLUM BEACH
Cat       ,Chichi,RAGDOLL   ,RAGDOL,BlueWhite ,N,F,1,COOLUM BEACH
D         ,Charly Brown,JACKRUSSLX,JACKRU,White     ,N,M,0,CURRIMUNDI
Cat       ,Vonu,DOMSH     ,DOMSH ,Tortoise  ,Y,F,8,LITTLE MOUNTAIN
D         ,Bruno,LABRADORX ,LABRAD,White     ,Y,M,5,LITTLE MOUNTAIN
D         ,Jack,JACKRUSSL ,JACKRU,WhiteBlack,Y,M,5,LITTLE MOUNTAIN
D         ,Dream,BULLDOGFR ,BULLDO,BlueWhite ,N,F,0,KULUIN
D         ,Penny,SPOODLE   ,SPOODL,BlackWhite,Y,F,11,ALEXANDRA HEADLAND
D         ,Yoshi,SPITZJAP  ,SPITZJ,White     ,N,M,5,BUDDINA
D         ,Tottie,BULLARABX ,BULLAR,BrownWhite,N,F,5,NAMBOUR
D         ,Pip,GREATDANE ,GREATD,BlackWhite,N,F,0,BLI BLI
D         ,Lola Maple-Rose,DACHSHUNDM,DACHSH,Red       ,N,F,0,SHELLY BEACH
D         ,Charlie,KELPIEAUS ,KELPIE,Black     ,Y,F,9,NINDERRY
D         ,Rufus,CATTLEDOG ,CATTLE,Black     ,Y,M,7,NINDERRY
D         ,Bonnie,STAFFRDBTX,STAFFR,Tan       ,Y,F,1,GLASS HOUSE MOUNTAINS
D         ,Bailey,COLLBORDR ,COLLBO,BrownWhite,N,F,0,BUDERIM
D         ,Zig,COLLBORDR ,COLLBO,Black     ,Y,M,0,PACIFIC PARADISE
D         ,Lilly,MALTESEX  ,MALTES,Cream     ,Y,F,7,PELICAN WATERS
